name,hex
Electric Aqua,#06EAF4
"Medium Spring Green (Leaf Green, Sage Green)",#49A27E
Silvered Sage,#A8B4D0
Maroon Shade 6 (#BA0436),#BA0436
Fluorescent Orange-Yellow,#FDDA5D
Persian Blue,#4BB0C7
Seafoam Green,#2DAA9E
Indigo Violet,#9075A4
Fedgolden,#FED71C
Sharp Plum,#CD2BAA
Greenish-Blue (Sage Green),#178157
Red-Orange (Crimson),#C82C32
Sage Green with a Touch of Lime,#AFDF26
Purple Hexadecimal #97489E,#97489E
Dark Wine Red,#583D44
Medium Purple (Deep Lilac),#693C7B
Ultramarine Blue (Deep Navy),#070DAA
Fuchsia Rose,#F739F3
Lime Green,#66FD3C
Sage Green,#3BFA96
Tangerine Dream,#C47C58
Deep Teal,#0658E0
Deep Cobalt Blue,#3C32DC
Wisteria Purple,#8F147E
Green (Shades of Lime),#18C90A
Plum Lavender,#B9A6DE
Sapphire Blue,#0963B2
Dark Navy Blue,#261F23
Brick Red,#B2775C
Green (specifically #17F881),#17F881
Sapphire Blue,#3275E3
Indigo (Dark),#3915A8
Light Cyan,#B6BCF4
#6CF6DA (Cyan-Teal),#6CF6DA
Medium Purple-Red,#AD61A6
Turquoise Green,#31DBBA
Purple-Rose,#92729F
Scarlet Red,#CD2A45
Burnt Sienna,#714A0C
Fire Red,#CF2D33
Dark Slate Gray,#283149
Sage Green,#A7CA49
Sage Green,#195117
Fuschia Rose,#F77C9C
Medium Purple (or Lavender Rose),#C499CB
Caramel Yellow,#CCAF22
Dusky Orange,#DF7B2E
#787038 (Brownish Gray),#787038
Deep Purple,#3B0147
Mars Brown,#A05351
Burgundy,#290012
Goldish Yellow,#D0E008
Indigo Deep,#362458
"Indigo Dazzle (custom name, as the standard HEX color names do not apply here)",#3949D5
Sapphire Blue,#72A9CA
Aquamarine Blue,#59FAFA
#47C099 (Hexadecimal Greenish Blue),#47C099
Gold Yellow,#FDF53C
Green (specifically #38CB81),#38CB81
Dark Sage Green,#172E48
Rusty Rose,#E27395
Medium Purple (or Plum),#9B2BC1
#B8D66D (Khaki Green),#B8D66D
Green-Blue (Sage Green),#7EA051
Medium Purple,#A22F9F
Crimson Red,#D0366D
Bordeaux,#491212
Gold (Dijon),#EAEB65
Sapphire Blue,#0D6F9B
Green Sea (#1C8734),#1C8734
Light Sky Blue,#96A1B3
Aquamarine,#98DC99
Dark Navy Blue,#27132C
Medium Violet Red,#DB79C4
Wisteria,#E208D7
Light Lavender Pink,#C4B1CB
Sage Green,#7D9C06
DCC447,#DCC447
Green-Yellowish,#7BED0A
Dark Cyan,#8D89D3
Lavender Violet,#EBD7EE
Teal Blue,#14A2E7
Medium Purple (#5C309E),#5C309E
Sea Green,#72ECA6
Sage Green,#279073
Platinum Lilac,#D1C4DA
Cobalt Blue,#204DF4
Teal Green,#56B493
Dark Purple-Burgundy,#4A2438
Seafoam Green,#C8DBAF
Sapphire Blue,#167EB3
Indigo Violet,#6B0BD5
Emerald Green,#5CCB1A
Indigo (Dark),#4755C3
Dark Burgundy Wine,#5E0E15
Emerald Green,#468772
Amber Brown,#AB7840
#7899EB (Hexadecimal) or Light Cornflower Blue (Named color),#7899EB
Teal Green,#3A8E93
Rosy Lilac,#F6A4BB
Sage Green,#5A6C4F
Lime Greenish Blue,#BCFF7B
Seafoam Green,#9EE566
Sapphire Blue,#50B4E8
Brownish-Ochre,#9D6D1A
Sage Green,#A1EDA9
Green Olive,#2E4D15
Sage Green,#11650A
Turquoise Cyan,#4EAFEB
Emerald Green,#45A752
#797F18 (Dark Olive Green),#797F18
Saffron,#A3BA31
Indigo Purple,#651488
Fuchsia Magenta,#F02CAA
Fuchsia Magenta,#FCA1E2
Saffron,#C1E010
Aqua Cypress,#4AC85C
Marigold,#E8964A
Dark Olive Green,#64745D
Midnight Blue,#53484F
Deep Wisteria,#5910E7
Maroon Wine,#AE383F
Teal Green,#7CC7A2
Teal Green,#04DDD5
Medium Purple Violet,#CC08FC
Plum Violet,#9F7A8A
"#44A7D4, Hex Blue",#44A7D4
Dark Navy Blue,#262833
Burly Wood,#7E6947
#777D4F (Dark Forest Green),#777D4F
Fuchsia Magenta,#F81F8A
Teal Blue,#4A9C66
C5C4E4 (Hexadecimal) or Silver Platinum (Common Name),#C5C4E4
Sapphire Blue,#25C1F6
Seafoam Green,#99D57C
Medium Purple-Pink,#B98FF7
Wine Red,#98057D
Sapphire Blue,#36D3C0
Burnt Sienna,#A67920
Deep Indigo,#273088
Dark Navy Blue,#171A34
Tangerine Orange,#E34A44
#A7A991 (Beige Gold),#A7A991
Medium Purple-Blue (Lavender Violet),#850EE2
Lime Green,#3BFF1A
Green 12C4 (#12C439),#12C439
Navy Blue,#22498C
Indigo (specifically a shade of dark indigo),#024BAA
Maroon,#863114
Cyansky Blue,#48BADB
Gold Marigold,#C89A33
Dark Purple (Dusky Plum),#44236D
Deep Purple,#684DD8
Fuchsia Rose,#F35E64
Purple-Red (or Plum),#82347A
Dusky Lavender,#D1A2EB
Deep Raspberry,#D84B67
Fuschia Magenta,#F56971
#5EDC58 (Greenish-cyan),#5EDC58
Lavender Blush,#FAE6FE
E44AD0 (Eggplant),#E44AD0
F2D09A,#F2D09A
Scarlet Red,#AD2B20
Dandelion,#D18081
#20838D (Dark Teal),#20838D
Af8a29 (specific hex code),#AF8A29
"#E41147, Crimson Red",#E41147
Gold Brown (approximately),#957B05
Saddle Brown,#878247
Aquamarine,#7DF2B3
Indigo (Dark),#2501C6
Olive Brown,#615E00
Navy Cyan,#5F6ECF
Indigo (Dark),#0B2357
Deep Plum,#79699C
#0172AB (Hexadecimal) or Dark Cyan (Common name),#0172AB
Plum Wine,#BD868F
Indigo,#261EB4
Chocolate Brown,#393408
Medium Purple,#3001FF
Deep Magenta,#C131E0
Indigo (Deep),#275BA7
Lime Greenish-Yellow,#A5EE60
Wine Red with Pink Undertones,#B461B0
Dusky Magenta,#D22588
Midnight Blue (Dark Navy),#132B59
Indigo Violet,#331ADE
Lime Green,#2DDE94
Dark Purple (or Plum),#873382
HEX #91F4AA,#91F4AA
Gold Marigold,#E6A802
Burgundy Wine,#5F000E
Indigo Deep,#38338D
Dark Plum-Purple,#5C0F56
Light Cyan,#0AABE7
Sage Green,#36C58E
Acidic Olive Green,#ACB63E
Sapphire Blue,#78BEF7
Sage Green,#5B8C8F
Deep Purple (Amethyst),#9E21B6
Indigo (Dark),#6567EC
Purple Lilac (or Magenta-Purple),#F038F9
#AA9F96 (Pale Rose Taupe),#AA9F96
Sage Green,#015740
Medium Purple-Pink,#9A78BB
Medium Purple,#6233F5
Indigo,#346A90
Greeny Yellow,#8DAE2F
Turquoise Green,#51E1B9
Sage Green,#64AE26
Lime Green,#8CEC27
Dark Slate Gray,#3F3E52
Medium Purple-Lavender,#A25CEA
Lavender Mauve,#E54EFC
Deep Cobalt,#7F7DA1
Turquoise (teal),#24DFC2
Fuchsia Rose,#E9328A
Sapphire Blue,#235B98
Wine Red,#66123A
Purple-Violet #8A2EE8,#8A2EE8
Sapphire Blue,#437CE5
Plum Purple,#DC89C8
Sage Green,#34C2AE
Dark Burgundy,#843661
Lighter Periwinkle,#BFC1A8
Greenish-Blue (Sage Green),#4D8E26
Cobalt Blue,#0127D3
Sage Green,#4C9559
#2B85B1 (Cerulean Blue),#2B85B1
Maroon (E32125 specifically),#E32125
Seafoam Green,#73DB9F
Green Olive,#229734
Lavender Mauve,#ED93FC
Dandelion,#D3935B
Lime Green,#80FA43
Sage Green #022F70,#022F70
Cobalt Blue,#478BDD
Deep Magenta,#DC35B6
Sage Green,#B7D8A9
Olive Green,#B1B54B
FEE3DF (#FEE3DF),#FEE3DF
Dark Sage Green,#09586F
Sage Green,#277561
Lavender Blush,#E39DE4
Emerald Green,#408D6B
Sage Green (Approximate),#ABF267
DC492A (Deep Coral),#DC492A
Plum Magenta,#C283CB
D4FB58,#D4FB58
Indigo Purple,#73017A
Saffron,#C9D641
#251140 (Dark Navy),#251140
Greenish Aqua,#4ED751
Deep Rosy Violet,#C261AB
Sage Green,#13AC43
Burnt Sienna,#96541E
Dark Plum,#8C2560
Maroon,#9B444F
Fire Orange,#CC0D13
Sage Green,#208137
Teal,#62CDBA
Marigold Orange,#DA612D
Raspberry Red,#ED4245
F44D26 (#F44D26),#F44D26
Sage Green #45E722,#45E722
Sage Green,#868E3A
Saffron,#E3FD21
Indigo Purple (Dodger Blue shade),#4A32ED
Indigo Violet,#3B0F9F
Wisteria,#C713EA
Wine Red (approximate),#BF565D
D832A5 (Deep Purple),#D832A5
Maroon 59,#9B195F
#6AA1DC (Hexadecimal) or Cornflower Blue (Common Name),#6AA1DC
Sapphire Blue,#41BEF5
Indigo,#4630A3
Turquoise,#80F4F1
Deep Purple,#4F048B
Marigold,#E45234
Aqua Marine,#4F93DD
Dark Red Orange,#D14C1F
Deep Purple,#864E8B
FaeoCD (specific shade of light pink),#FAE0CD
Sapphire Blue,#9BFCFD
Deep Purple #9286E8,#9286E8
Sapphire Blue Cyan,#81CBBF
Raspberry Rose,#EAB095
Deep Cobalt Blue,#384E96
Cobalt Blue,#2148EF
Green-cyan #47B547,#47B547
A8DAFF,#A8DAFF
Medium Purple-Grey,#979AB5
Golden Sand,#BBC724
Emerald Green,#02B71A
Scarlet Red,#E43F1D
Lime Green,#3BDD7D
Forest Green,#0E6813
Emerald Green,#47F746
Indigo Deep,#3D0342
Green-Blue (Sage Green),#396230
Fire Brick,#E14351
Medium Purple-Blue,#1C05F7
Lime Green,#67EF50
Cyan Aqua,#8CD7D9
Sage Green,#A1C0AA
Aquamarine Cyan,#55C9B5
MediumPurpleMagenta,#CA8BF6
Medium Purple-Lavender,#CC5AE5
Dark Ash Grey,#65706E
Seafoam Green,#9CD2A9
Burnt Sienna,#C3690F
Cadet Blue,#CCA290
Fuchsia Violet,#9F62DA
Green Cyan,#7AC20F
Sapphire Blue,#4691BF
Cyanspectrum Aqua,#1AEB8F
Red-Brown (Carmine),#7A4151
Cobalt Blue,#1E47D9
#02B137 (Hexadecimal) or Dark Sea Green (Common Name),#02B137
Wine Red,#D00D9D
Burnt Sienna,#B5370F
Fuchsia Rose,#E341C3
#1C54DA (Hex) or Dark Cyan (Common name),#1C54DA
Lilac Heather,#907B85
Deep Fuchsia,#F62ADF
Maroon Wine,#8B5768
Sapphire Blue,#69A6CB
Fuchsia Rose,#F671D5
Maroon,#B50B0C
Rose Magenta,#E6837F
Tangerine,#DB8028
Sage Green #6A904E,#6A904E
Shimmer Pink,#FC8AF0
Dark Navy,#5E5A6E
Aquamarine Cyber,#4EF7F4
Saffron,#E4E385
Dandelion Yellow,#D6E1AD
Cae122 (Hexadecimal value) or Gold Marigold (Common name),#CAE122
Emerald Green,#5F770A
Deep Magenta,#DC33F7
Maroon,#610D21
Sage Green #A0DD56,#A0DD56
#BAC866 (Greenish Yellow),#BAC866
Fuchsia Rose,#FB6A91
Teal Aqua,#4AA0A6
Fuchsia Magenta,#F03555
Dark Burgundy,#280801
Burnt Sienna,#8F541E
Indigo (Dark),#081FC2
Deep Indigo,#4F37C5
Dark Navy Blue,#252F51
Medium Slate Blue,#6897A3
Sunshimmer Gold,#FCFE60
AACCE7 (Hexadecimal),#AACCE7
Deep Purple,#6B0F78
Gold Marigold,#F0DE37
Rose Dusk,#E68BC9
Green-Cyan (Teal),#07F8CD
Light Cyan,#75F1F0
Medium Purple-Lavender,#C33BF9
Fiery Orange,#F79465
Fuchsia Rose,#FA789C
#1C42F9 (Dark Cyan Blue),#1C42F9
Forest Green,#1E3429
Forest Green,#09410D
Sage Green #477B41,#477B41
Lime Green,#3DBD87
Goldenrod,#F4CC7A
Scarlet Red,#E4343B
Dandelion Yellow,#D1D695
Golden Brown,#CBA768
Burgundy Red,#C75848
Olive Green (Approximate),#A3AB24
Medium Purple-Lilac,#976BB6
Ecru,#EBC4BD
Periwrinkle Blue,#B8DEC9
Deep Purple-Red (approximate),#7F1B98
Green (Emerald),#41EF60
Medium Violet Red,#CF42B7
Naval,#576C9D
Sapphire Blue,#38C3F3
Deep Cyan,#4E8DE5
Sapphire Green,#41C2A5
Green Olive #476C02,#476C02
Deep Plum,#A12995
Teal (Oceanic Teal in this specific shade),#078DAB
Burnt Sienna,#A07775
Deep Purple,#512A97
Electric Aqua,#33DFDF
Fire Brick,#F2504F
Medium Purple-Blue (A25BB3),#A25BB3
D9CF78,#D9CF78
Dark Sea Green,#02C05E
Cyan Teal,#88C0C7
Taupe Grey,#7C7860
Tuscan Red,#EA414D
Medium Cyan,#4E72AE
Dark Greyish Blue,#828E95
Greenish Aqua,#1BA55A
Seafoam Green,#48EDE4
Aceabe,#ACEABE
Fuchsia Rose,#FB8686
Maroonish Rose,#B77277
Sapphire Blue,#026EC3
Shimmering Lavender,#F17AF8
Light Sky Blue,#A6E3EA
Maroon-Wine,#891D66
Lime Green,#37E70E
Sage Green,#759548
Scarlet Red,#C23A31
Lime Green,#0C988F
Teal (Sapphire Teal in this case),#0D9CCB
Turquoise-cyan,#4FD3ED
Dark Brownish Red,#793A25
#9BAE19 (Sage Green),#9BAE19
Maroon Dark,#2A1C11
Burgundy Wine,#730D3E
Lime Green,#03E909
Cool Sky Blue,#EFCBF3
Indigo Purple (Deep),#532AFF
Sage Green,#829C71
Royal Blue,#2166B4
Indigo (Dark),#3000B8
Sage Green,#47703B
Lime Green,#6FCD4E
Indigo (Dark),#4663F9
Mahogany Brown,#8D785B
Sapphire Blue,#78D2F9
Dark Purple-Blue,#1E0E1F
Lime green,#B9F65B
Light Pinkish Lavender,#E1C0CA
Sage Green #087670,#087670
Sage Green #0C9354,#0C9354
#752927 (Brownish Red),#752927
Magenta Rose,#E56CA1
Gold Marigold,#F8F266
Fuchsia Magenta,#F237DC
Turquoise-cyan,#0FCCFD
Sage Green,#91A824
Golden Tan,#DCD93D
Orange-Brown (Orange-Burnt Sienna),#AA642C
Dark Olive Green,#536F67
Split Pea Soup Green,#85F269
Maroonish Crimson,#B21491
Green Cyans (Techmarine),#3AEF92
Aquamarine,#65D096
Maroon Wine,#9C395E
Fuchsia Pink (or Magenta),#FB13BE
Teal (Sap Green),#10A986
Dark Purple Lilac,#826F81
Dusky Lavender Magenta,#DF3FF2
Green (Specifically #1D7C40),#1D7C40
Sandstone,#B69D82
Indigo #0837BA,#0837BA
#FE2297 (Deep Fuchsia),#FE2297
ACEBC9 (Hexadecimal),#ACEBC9
#4FB4F2 (Sapphire Blue),#4FB4F2
"#2789E9, Deep Cobalt Blue",#2789E9
Sapphire Blue,#73C0ED
Marigold Orange,#E65021
Turquoise green,#4CD495
Midnight Blue,#4E4EAF
Sapphire Blue,#22B8F2
Dark Forest Green,#323E2D
#FF6CE4 (Fuchsia Rose),#FF6CE4
Sapphire Blue,#3F9294
Golden Harvest,#E7CF1E
Dandelion,#C7C308
Light Salmon Pink,#C0A1AF
Indigo Deep,#0A114D
Wine Red,#833F62
Indigo,#4B97D5
Seafoam Green,#54EAAA
Emerald Green,#09924B
Burnt Sienna,#D27A2B
E66CAB (#E66CAB),#E66CAB
Dark Magenta,#7D477E
Amber Brown,#967844
Dark Teal,#2E8384
Chestnut Brown,#826C06
Maroon Red,#B71244
Sage Green #336948,#336948
Burnt Sienna,#A9501F
Lime Green,#0FC002
Dusty Rose,#CF8074
E28CCD (Eggplant Magenta),#E28CCD
Royal Purple,#913DF3
Wine Red,#C1010D
Dijon,#CEB302
Scarlet Red,#FF0E14
Medium Purple,#9F3BA8
Charcoal Grey,#899690
Sapphire Blue,#4CB7EC
Green-blue (Sometimes referred to as Teal),#288D77
Medium Purple-Red,#8C3580
Sage Green,#366B62
Indigo (Medium),#5630FF
Wine Red,#B2089A
#C28400 (Golden Brown),#C28400
Burnt Sienna,#B79526
Dark Forest Green,#274845
Dark Blue-Purple,#302141
E916A2 (Eggplant),#E916A2
Dark Plum Purple,#5A2536
#9775F1 (Deep Lavender),#9775F1
Lime Green,#8DDC1D
Maroon,#903F2D
Burnt Sienna,#C63523
#1609FC (Deep Cobalt),#1609FC
Deep Fuchsia #A108A5,#A108A5
Wisteria,#B437C8
Gold Marigold,#EDB630
Medium Purple-Lilac,#A181F5
Dark Teal,#1A3C49
Fuchsia Magenta,#F21BB9
Indigo,#6413C5
Cyano Aqua,#6EAFFF
Maroon Red,#CB043F
Mahogany Brown,#7D563C
Deep Purple,#654286
Deep Cyan,#4876DB
Dark Sienna Brown,#8F836E
Dusky Lilac,#D266EB
Plum Magenta,#B679C2
Burnt Sienna,#C4815E
Sage Green,#CDE4B3
Turquoise #40DFA3,#40DFA3
Sage Green,#81EA31
Wisteria,#B646C0
Sky Blue,#7CE2F6
Green (Lime),#37DA07
Dandelion,#D16223
Indigo Violet,#7458CE
Fuchsia Magenta,#FE2F8F
Dark Olive Green,#443517
EB07B4 (EB07-B4),#EB07B4
Burnt Sienna,#7E543E
Burgundy Wine,#4F174F
Steel Grayish Brown,#7F7672
Lime Green,#40F22B
Medium Purple,#E289E1
Forest Green,#0D2F1B
Greenish Yellow,#7DB12B
Navy Blue,#0E50DE
#67FA9C (Hexadecimal Greenish Blue),#67FA9C
Sapphire Blue,#35849F
Forest Green,#3F5331
Cobalt Blue (Deep Sapphire),#4F4EEF
Aquamarine Blue,#45D4E2
Gold Marigold,#E2B02A
Burnt Sienna,#BC6A28
Azure Dazzle,#AFD3C9
Sapphire Blue,#82F6E8
Dark Purple (or Plum),#8174AE
Sage Green,#CDE268
#54860B (Green Sap),#54860B
Sapphire Blue,#3DA5EA
Dusky Magenta,#A458F9
Lime Green,#9FFB0C
Bordeaux,#341901
E572EB (Purple Lilac),#E572EB
Indigo (#2139AB specifically),#2139AB
Green Sea (#54BE52),#54BE52
Marigold Orange,#E95F02
Seafoam Green,#6EBF0F
Maroon,#B80F80
FBF4F5 Light Lavender,#FBF4F5
Marigold Orange,#E96B41
Sienna Brown,#9A872E
Sage Green,#218806
Medium Cyan,#02BDE0
Dark Indigo,#07046C
Seafoam Green,#4ADB5F
Deep Teal,#245471
Medium Purple-Blue (#623FB3),#623FB3
Light Sapphire Blue,#9DA9ED
Plum Wine,#9F5E9D
Cerise (cherry) or Deep Raspberry,#CE3E75
Maroon 69,#B74B6E
Dark Navy Blue,#08034C
Green-Blue (Sage Green),#388929
Deep Cyan,#398EF2
Green #04F225,#04F225
Sage Yellow-Green,#C5EC49
Sage Green #86AC12,#86AC12
Emerald Green,#46AC47
Maroon Deep,#7E2356
Acfabc Green,#ACFABC
Maroonish Brown,#75333B
E0CBDD,#E0CBDD
Faded Orange,#FDDB71
EB1CAA (#EB1CAA),#EB1CAA
Dusky Coral,#DF5603
Sunnyside,#8EBC04
Sage Green,#1F240C
Deep Purple (#7827E2),#7827E2
Aquamarine Cyan,#8EBDDA
Green-Yellow (Spring Green),#49E26A
Emerald Green (Pantone 376U),#20BA03
Sage Green,#2F8580
#11F539 (Hex code) or Lime Green (Common Name),#11F539
Maroon,#D8331F
Greenish Yellow,#C8DF4F
Dark Plum,#70294B
Indigo Deep,#0E1242
Light Steel Blue,#C7DDEC
Deep Cobalt Blue,#1714B0
Fuchsia Magenta,#E73C83
F9F7D1 (Golden Cream),#F9F7D1
Olive Drab,#8A803E
Light Sky Blue,#9EDBEC
Sage Green,#21876D
Dark Forest Green,#072929
Indigo (Dark),#2A6B9A
#16B0E5 (Hexadecimal) or Medium Cyan (HTML color name),#16B0E5
Wisteria,#9338CE
Teal Blue,#60BDAB
Purple (specifically Fuchsia),#E033D3
Emerald Green,#0FE069
Maroon Brownish,#551F26
Maroon 69,#704D50
Sapphire Blue,#64CADE
Burgundy Maroon,#892B4B
Dodger Blue,#0D7BA0
Periwinkle Blue,#95C0F7
Sandstone,#ECEA82
Brownish Orange,#D24302
Deep Purple (#7D88D8),#7D88D8
Medium Cyan,#2C9EF4
#997525 (Brownish Orange),#997225
Wine Red,#9C567E
Indigo Dazzle,#110DD6
Indigo (Dark),#3B15A1
#4681F6 (Hexadecimal) or Dark Cyan (Named color),#4681F6
Seafoam Green,#CCE574
Indigo Deep,#03175D
Sage Greenish Yellow,#B6DA63
Sapphire Blue,#8BE0E6
Dark Slate Gray,#64614C
Green-Blue (Sage),#4E9B09
Brownish-Orange,#B29176
Lime Gold,#BDE42F
Medium Cyan,#6C84FF
Coral Pink,#F0705C
Marsala (#DD716B),#DD716B
Wine Red,#6C1A43
Goldenrod,#CDCA39
Maroon Garnet,#7E2966
Medium Purple,#8665D0
Sage Green #26F68E,#26F68E
Sage Green,#B0DF30
Cedar,#CEB652
Aquamarine-green,#9DF9AD
Sapphire Blue Cyan,#8CC3DC
Indigo (Dark),#26A6C5
Teal Green #13E34F,#13E34F
Aqua Cyan,#5EDDF5
Teal Blue,#1AA3EE
Greenish Cyan,#76C42D
Plum Purple (Lavender Mauve),#BA6AD8
Green-Cyan,#72E896
Medium Purple-Blue,#A55DB9
Mars Brown,#843538
Sage Green,#618D89
Sapphire Blue,#6493FA
Gold Yellow,#F6D969
Lime Green,#62D789
Sage Green,#508354
Sage Greenish Blue,#336B6E
Purple Heart,#9760CC
Light Grayish Cyan,#EAE7C5
Fuchsia Magenta,#E93292
HEX #72C674,#72C674
Indigo (Dark),#4B83D7
Aquamarine,#5DDB8B
Burgundy (Dark Red-Brown),#4A0F07
Medium Purple,#9833C9
Burnt Sienna,#91580E
Plum Purple,#B921C1
Maroon (Dark Red),#801A33
Medium Purple-Blue,#651EEF
Platinum Lilac,#88A8AC
Maroon,#55001C
Lime Green,#00FB0A
Cyan (teal),#0891D2
Wine Red or Deep Purple,#B82093
Sea Green,#0BB862
Aqua Cyan,#5DD7F0
Dusty Rose,#D3B685
Deep Teal,#268294
Dark Indigo,#284D7A
Dark Navy,#0C030C
Scarlet Red,#B3034C
Scarlet Red,#E81230
Dark Red-Maroon,#A82A42
Beige Taupe,#A89F80
Sage Green,#60B963
Gold Ochre,#D8A241
Dark Brownish Green,#776D45
Deep Purple #861F87,#861F87
Green (Shaded Olive),#38821A
Green (Sap green or Olive green),#15A035
Gold Orange,#D0872F
Sapphire Blue,#5296EB
Deep Purple,#9C57B4
Dark Purple,#3E2076
Chestnut Brown,#81615B
Indigo,#16217E
Green-Blue (Sage Green),#74A851
Medium Purple-Lavender,#A36AE8
#1156A2 (Hexadecimal) or Navy Blue (Common Name),#1156A2
Indigo Violet,#7048F7
Lime Green,#64A515
Tawny Brown,#937A36
Medium Purple-Lavender,#985BE6
#D9FB45 (Greenish Yellow),#D9FB45
Dark Plum Purple,#852E7D
Dark Grayish Brown,#5A4148
Wine Red,#7D2999
Cyan Blue (or Sapphire Blue),#59BDF3
Dark Indigo,#042186
Deep Fuchsia,#DF049D
Indigo,#27649C
Medium Purple,#8A50D5
Sapphire Blue,#86B2D7
Gold Ochre,#E09416
Burly Wood (approximated name),#5E481D
Emerald Green,#0D7652
Forest Green,#557829
Indigo Cyan,#126AC8
Sage Green,#81B585
Emerald Green,#4BDC92
Light Pinkish Lavender,#E9C3CD
Indigo (Dark),#451DFF
Medium Violet Red,#C057BB
Scarlet Red (closest match),#A32C13
Deep Cobalt Blue,#2525EF
Deep Purple,#2E168A
Lime Green,#0CD33C
Fuchsia Magenta,#F47691
Medium Dark Green,#617A68
E6CBDD,#E6CBDD
Greenish-Blue (Sage),#247E2C
Burnt Sienna,#8C4C25
Deep Purple (Violet-Purple),#8122CA
Purple-Red,#A371D0
Scarlet Red,#C7111F
Gold,#EED513
Sage Green,#84B605
Sage Green,#365546
Burgundy Rosy Brown,#BF075F
Maroon,#981906
Dark Purple-Blue,#4A3A4B
Daffodil Yellow,#D6FA24
Indigo (Dark),#2678CC
Sapphire Blue,#83C1D5
Maroon (Dark Red),#B72070
Deep Plum,#AC224D
Dandelion Yellow,#AEB771
Green (specifically Lime Green),#4DEB42
Deep Purple,#A2219B
Green-Brown (Olive),#5B785F
Sage Green,#677428
#26A7FC (Hexadecimal) or Medium Cyan (HTML color name),#26A7FC
#2080E5 (Cornflower Blue),#2080E5
Saffron,#F3FD91
Purple-Indigo (#B463DC),#B463DC
Light Pinkish Lavender,#E9CCD4
Indigo Deep,#260A86
Green-cyan (Saturated),#4FB349
Duck Egg Blue,#40D4F7
Slate Blue,#6A75A7
Medium Purple-Lavender,#A56BF8
Sapphire Blue,#78D3EB
Fuchsia Magenta,#FA13E2
Marigold Orange,#E83F06
Medium Purple-Red,#905AB8
Sapphire Greenish Blue,#53C4A3
Amethyst Purple,#B41CB0
Sage Green,#6B9919
Indigo (dark),#3364BA
Lilac Mauve,#BF8FCB
Medium Cobalt Blue,#382CC2
Sage Green,#537807
Turquoise-cyan (Sky Blue Shade),#39ECF2
Wine Red (Approximate),#C56388
Green Yellow (Sicneon Green),#89F362
Aquamarine Cyan,#0ED8EE
Lime Green,#07CE7F
Lime Green,#01D51D
#8F6EF9 (Lavender Purple),#8F6EF9
Sage Green (#23B624),#23B624
Golden Yellow,#E7DF67
Indigo Deep Purple (#7014DC),#7014DC
#41530A (Dark Forest Green),#41530A
Deep Purple (#4C22AD),#4C22AD
Turquoise Green,#A0EAA5
Red-Violet #A7136F,#A7136F
Kryptonite Green,#9CF78F
Plum Violet,#D68FEE
Plum Magenta,#DB05D4
Scarlet Red,#E20327
Green #368E06,#368E06
Fuchsia Rose,#F98DE1
Sage Green,#B3D88E
#8EDDAA (Electric Lime Green),#8EDDAA
Sapphire Blue,#082AA3
Forest Green,#256A00
Indigo Deep (#3504D1),#3504D1
Acfun Green,#ACF66D
Dark Indigo,#404F9B
Dark Teal,#188A8B
Dark Greenish Brown,#495538
Green-yellow (Spring Green),#89DBAF
#FE5157 (Deep Rose),#FE5157
Deep Magenta,#C6479A
Burnt Sienna,#9C401A
ACFBE2,#ACFBE2
Wine Red #9D2B61,#9D2B61
"HKS (Hexadecimal) #AF808F (Afuchsia, Fuschiasitic)",#AF808F
Green Olive #307C05,#307C05
#8449FE (Purple-Violet),#8449FE
Sage Green,#D1F7DF
Deep Raspberry,#DB3258
Bordeaux Red,#9E1F44
Gold Orange,#AB7D16
Green-Cyan #15D092,#15D092
Burnt Sienna,#E55748
Medium Purple-Pink,#B97FDD
Marigold,#E11601
Dede Gold,#DED80B
Emerald Green,#2DDB86
Sea Foam Green,#8FEAEA
Navy Blue (Dark),#261123
Dark Brownish Maroon,#230F0E
Indigo Violet,#9346A9
Lavender Mauve,#EA54D5
Indigo Purple (#762386),#762386
Dark Burnt Sienna,#8D411F
Sapphire Blue,#00C9D9
Sage Green,#A3F26F
Golden Yellow,#C87C10
Indigo Deep,#4114C8
Wisteria,#A60E9C
Sapphire Teal,#53F4DD
Maraschino Cherry,#E84A58
Dark Indigo,#4F57A7
E76FD4 (E76FD4 Hex),#E76FD4
Green-Blue (Teal),#529A5D
Purple-Red,#924A99
Burgundy Wine,#680604
Marigold,#E99535
#936207 (Tawny Brown),#936207
Olive Green,#AFB56B
Saddle Brown,#899511
Maroonish Red,#AF166A
Honey Gold,#EAB787
D94093 (Deep Raspberry),#D94093
Medium Purple Deep,#800CE9
Purple-Indigo (Dark),#8554A8
Medium Purple-Magenta,#AD42F5
Deep Cyan,#2959D9
Deep Wine Red,#7C3775
Medium Blue Cyan,#027BF0
Deep Teal,#00233A
"Lime Green (Emerald Green, Neon Lime)",#72FF29
Deep Purple #972B92,#972B92
Scarlet Red (Deep Red),#FD2C3F
Sea Green,#51C541
Green-cyan #49EF46,#49EF46
#3EEC52 (Electric Spring),#3EEC52
Sapphire Cyan,#6FC8CF
Brownish Gold,#A68A2A
Fuchsia Magenta,#E71981
#B4F836 (Bright Lime Green),#B4F836
#4855A2 (Hexadecimal) or Dark Cyan (Common Name),#4855A2
#58A1DF (Hexadecimal) or Cyan Teal (Common Name),#58A1DF
Medium Magenta (or Deep Fuchsia),#C237C7
